--------------------------------------------------------------------------------
Process Log at Sat Aug  8 23:37:47 2020
--------------------------------------------------------------------------------
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 17012, 'vms': 17.20703125}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 17104, 'vms': 11.80859375}
{'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 17164, 'vms': 10.74609375}
{'name': 'svchost.exe', 'username': None, 'pid': 17180, 'vms': 1.93359375}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 17320, 'vms': 13.56640625}
{'name': 'SearchProtocolHost.exe', 'username': None, 'pid': 17508, 'vms': 2.73828125}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 17524, 'vms': 6.55859375}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 17528, 'vms': 3.53515625}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 17636, 'vms': 21.87890625}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 17640, 'vms': 6.51171875}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 17724, 'vms': 3.9140625}
{'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 17932, 'vms': 40.22265625}
{'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 18068, 'vms': 31.94921875}
{'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 18300, 'vms': 11.26953125}
{'name': 'igfxEM.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 18312, 'vms': 4.08984375}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 18736, 'vms': 3.77734375}
{'name': 'CodeHelper.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 18900, 'vms': 11.63671875}
{'name': 'YourPhoneServer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 18964, 'vms': 7.83984375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 19092, 'vms': 183.98046875}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 19284, 'vms': 266.7734375}
{'name': 'svchost.exe', 'username': None, 'pid': 19680, 'vms': 3.421875}
{'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 19692, 'vms': 85.12109375}
{'name': 'svchost.exe', 'username': None, 'pid': 19832, 'vms': 4.27734375}
{'name': 'nvsphelper64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 19928, 'vms': 3.19921875}
{'name': 'unsecapp.exe', 'username': None, 'pid': 19980, 'vms': 2.1328125}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 20216, 'vms': 6.5078125}
{'name': 'NVIDIA Web Helper.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 20296, 'vms': 30.87890625}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 20304, 'vms': 1.84375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 20380, 'vms': 70.8359375}
{'name': 'RAVBg64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 20476, 'vms': 6.25}
