--------------------------------------------------------------------------------
Process Log at Thu Aug 13 16:57:18 2020
--------------------------------------------------------------------------------
{'pid': 11748, 'name': 'igfxEM.exe', 'create_time': 1597314317.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.9453125}
{'pid': 11896, 'name': 'python.exe', 'create_time': 1597318037.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 71.01953125}
{'pid': 11904, 'name': 'GoogleCrashHandler.exe', 'create_time': 1597002029.0, 'username': None, 'vms': 1.81640625}
{'pid': 11908, 'name': 'nvcontainer.exe', 'create_time': 1597314317.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 28.71875}
{'pid': 12096, 'name': 'svchost.exe', 'create_time': 1597002132.0, 'username': None, 'vms': 5.16796875}
{'pid': 12228, 'name': 'sihost.exe', 'create_time': 1597314317.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.51953125}
{'pid': 12468, 'name': 'svchost.exe', 'create_time': 1597256282.0, 'username': None, 'vms': 2.01171875}
{'pid': 12488, 'name': 'svchost.exe', 'create_time': 1597314319.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.13671875}
{'pid': 12540, 'name': 'chrome.exe', 'create_time': 1597314469.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.66796875}
{'pid': 12732, 'name': 'jhi_service.exe', 'create_time': 1597002131.0, 'username': None, 'vms': 1.453125}
{'pid': 12800, 'name': 'conhost.exe', 'create_time': 1597316296.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.51171875}
{'pid': 12844, 'name': 'SecurityHealthService.exe', 'create_time': 1597002031.0, 'username': None, 'vms': 7.3046875}
{'pid': 12860, 'name': 'CodeHelper.exe', 'create_time': 1597314732.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.07421875}
{'pid': 13012, 'name': 'StartMenuExperienceHost.exe', 'create_time': 1597314320.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 28.59765625}
{'pid': 13092, 'name': 'conhost.exe', 'create_time': 1597314738.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.51171875}
{'pid': 13120, 'name': 'ZtUac64.exe', 'create_time': 1597314397.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.515625}
